title,visited
50 years in filesystems: 1984 BSD FFS (koehntopp.info),1
90% of Kidnappings in São Paulo result from dates on Tinder and similar apps (restofworld.org),1
A Cold War mystery: Why did Jimmy Carter save the space shuttle? (arstechnica.com),0
A Microscopic Look at Snail Jaws (nhm.org),0
A New Beginning for LifeHacker (lifehacker.com),1
A TLS 1.3 stack written in Visual Basic 6 (github.com/wqweto),0
A URL shortener not shortening the URL but makes it look very dodgy (github.com/defaultnamehere),1
A bacterial culprit for rheumatoid arthritis? (the-scientist.com),0
"A broken man's homemade, seaworthy ship rests in the Canadian prairie (2015) (atlasobscura.com)",0
A collection of lock-free data structures written in standard C++11 (github.com/dnedic),0
"A medieval comedy act has been discovered in first-ever find, researcher says (vice.com)",0
A mystery person who spies on theme parks from the sky (boingboing.net),0
AI Canon (a16z.com),0
AI Voice Generator: Text to Speech Software (murf.ai),1
"AMD Instinct MI300 Data Center APU – 146B Transistors, Shipping H2’23 (anandtech.com)",0
AMD Zen2 ymm registers rolling back (lkml.org),0
APLcart – Find your way in APL (aplcart.info),0
Aboriginal Australian genomes reveal Indian ancestry (2013) (nature.com),0
Adding design-by-contract conditions to C++ via a GCC plugin (gavinray97.github.io),0
"Advice to Aimless, Excited Programmers (2010) (dadgum.com)",0
"Alexa, what is my wifi password? (dragon863.github.io)",0
An experimental editor for WebGPU compute shaders (compute.toys),0
Anthropic's 100k context is now available in the web UI (twitter.com/jlowin),0
Apartment rents fall as new supply hits market (wsj.com),1
Archive of medieval books and manuscripts discovered in Romanian church (medievalists.net),0
Asahi Linux M1 GPU drivers can now run Windows games via Steam Proton (youtube.com),1
Ask HN: Are there any good open source text-to-speech tools?,1
Ask HN: Concepts that clicked only years after you first encountered them?,1
Ask HN: How do you not take criticism of your work personally?,1
Ask HN: What is new in algorithms and data structures these days?,1
Ask HN: Who is hiring? (February 2023),0
Ask HN: Who is hiring? (June 2023),0
Ask HN: Who is hiring? (March 2023),0
Ask HN: Who is hiring? (May 2023),1
Ask HN: Who wants to be hired? (February 2023),0
Ask HN: Who wants to be hired? (June 2023),1
Ask HN: Who wants to be hired? (May 2023),1
Axle OS (axleos.com),0
